incident_id,date,n_killed,n_injured,latitude,longitude,n_guns_involved,participan_age,participant_gendre,participant_status,,,,,,,,,,,,,,,,,,,,,,,,,,
140429,27/05/2014,1,0,0.431299115,0.844063099,0,0::29,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139701,27/05/2014,0,1,0.457147125,0.704278369,1,1::20,0::Female||1::Male||2::Male||3::Male,0::Injured||1::Unharmed||2::Unharmed||3::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
800872,27/05/2014,1,0,0.462198151,0.763996764,1,0::32||1::27||2::25,0::Male||1::Male||2::Male,"0::Killed||1::Unharmed, Arrested||2::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
348157,27/05/2014,1,0,0.462201231,0.763996764,0,0::32||1::28,0::Male||1::Male,0::Killed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
163210,27/05/2014,0,0,0.400621831,0.868942936,0,1::20,0::Female||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
184429,27/05/2014,0,0,0.615940299,0.839600124,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140063,27/05/2014,0,0,0.546983013,0.715812757,0,1::20,0::Male||1::Female,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141703,27/05/2014,1,0,0.595517522,0.761979996,0,0::31,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
151346,27/05/2014,0,1,0.662921002,0.911429732,0,0::29,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139895,27/05/2014,2,1,0.600924276,0.703703664,0,0::24||1::50||2::38||3::27,1::Male||2::Male||3::Male,0::Killed||1::Killed||2::Injured||3::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140482,27/05/2014,0,0,0.430156474,0.845114957,0,0::26||1::19,0::Male||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139523,27/05/2014,0,2,0.642197936,0.789347392,0,1::23,0::Male||1::Female,0::Injured||1::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
141687,27/05/2014,0,0,0.572181166,0.906734543,0,0::20||1::20,0::Female||1::Female||2::Male||3::Male,0::Unharmed||1::Unharmed||2::Unharmed||3::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139741,27/05/2014,0,1,0.643503811,0.789409952,0,0::17,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
140256,27/05/2014,0,0,0.461018552,0.763117741,0,0::60,0::Male||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141673,27/05/2014,0,1,0.461571393,0.761704307,0,0::35,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139566,27/05/2014,0,0,0.605106772,0.90607183,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
173242,27/05/2014,1,0,0.523150793,0.464588328,0,0::48,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139996,27/05/2014,1,0,0.523153873,0.464588328,0,0::48,0::Male||1::Male,0::Killed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140661,27/05/2014,0,0,0.624822714,0.604383661,0,0::25,0::Male||1::Male||2::Male||3::Male,0::Unharmed||1::Unharmed||2::Unharmed||3::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139563,27/05/2014,0,1,0.603006285,0.917661355,0,0::19,0::Male||1::Male||2::Male,0::Injured||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
173240,27/05/2014,1,0,0.522283803,0.465097292,0,0::40,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
139990,27/05/2014,0,0,0.529943499,0.447644082,0,0::21,0::Male,0::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140503,27/05/2014,0,1,0.641180031,0.833019649,0,0::17,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
